PREFERRED_NAME,INCHIKEY,SMILES
"2,2,3,3,4,4,4-Heptafluorobutyl methacrylate",VIEHKBXCWMMOOU-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F
"1H,1H,3H-Perfluorobutyl 2-methylacrylate",DFVPUWGVOPDJTC-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(F)(F)F)F)(F)F
"4,4,5,5,6,7,7,7-Octafluoro-2-hydroxy-6-(trifluoromethyl)heptyl 2-methylprop-2-enoate",LZKRGSPBGVICLV-UHFFFAOYSA-N,C=C(C)C(=O)OCC(CC(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)O
3-(Perfluoro-5-methylhexyl)-2-hydroxypropyl methacrylate,RPDBRTLKDYJCCE-UHFFFAOYSA-N,C=C(C)C(=O)OCC(CC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)O
(Perfluoro-7-methyloctyl)-2-hydroxypropyl 2-methylprop-2-enoate,WNVNMSONKCMAPU-UHFFFAOYSA-N,C=C(C)C(=O)OCC(CC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoro-2-hydroxyundecyl 2-methylprop-2-enoate",DCXZWVLJCYXHDV-UHFFFAOYSA-N,C=C(C)C(=O)OCC(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-hydroxynonyl 2-methylprop-2-enoate",QJNMSQFOKUQZBA-UHFFFAOYSA-N,C=C(C)C(=O)OCC(CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O
"4,4,5,5,6,6,7,7,7-Nonafluoro-2-hydroxyheptyl 2-methylprop-2-enoate",BCTGGJURYOEMFV-UHFFFAOYSA-N,C=C(C)C(=O)OCC(CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O
(Perfluorocyclohexyl)methyl methacrylate,DZZAHYHMWKNGLC-UHFFFAOYSA-N,C=C(C)C(=O)OCC1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F
2-(Perfluoro-3-methylbutyl)ethyl methacrylate,JTEKNLSWXJADLG-UHFFFAOYSA-N,C=C(C)C(=O)OCCC(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F
